"name","street","city","zip","phone","sys_updated_on","apple_icon","banner_image","banner_text","sys_class_name","contact","coordinates_retrieved_on","country","sys_created_on","sys_created_by","customer","discount","fax_phone","fiscal_year","lat_long_error","latitude","longitude","manufacturer","market_cap","notes","num_employees","parent","primary","profits","publicly_traded","rank_tier","revenue_per_year","state","stock_price","stock_symbol","sys_tags","theme","banner_image_light","sys_updated_by","sys_mod_count","vendor","vendor_manager","vendor_type","website"
"ACME Japan","","Tokyo","","","2013-06-06 03:53:18","","","","Company","","","Japan","2010-11-25 13:14:16","dariusz.maint","true","","","","","32.711472","-117.166587","false","?0.00","","","ACME APAC","false","?0.00","false","","?0.00","","","ACME","","","","admin","1","false","","",""
"ACME North America","","","","","2013-06-06 03:53:31","","","","Company","","","USA","2012-02-19 22:41:11","admin","true","","","","","","","false","?0.00","","","ACME Americas","false","?0.00","false","","?0.00","","","","","","","admin","5","false","","",""
"ACME South Africa","","South Africa","","","2013-06-06 03:53:42","","","","Company","","","USA","2010-11-25 13:07:41","dariusz.maint","true","","","","","32.711472","-117.166587","false","?0.00","","","ACME EMEA","false","?0.00","false","","?0.00","","","","","","","admin","11","false","","",""
"ACME South America","","","","","2013-06-06 03:54:08","","","","Company","","","USA","2012-02-18 08:07:33","admin","true","","","","","32.711472","-117.166587","false","?0.00","","","ACME Americas","false","?0.00","false","","?0.00","","","ACME","","","","admin","6","false","","",""
"ACME Switzerland","","Geneva","","","2013-06-06 03:53:55","","","","Company","","","France","2012-02-19 23:02:30","admin","true","","","","","32.711472","-117.166587","false","?0.00","","","ACME EMEA","false","?0.00","false","","?0.00","","","ACME","","","","admin","1","false","","",""
"ACME UK","","London","","","2013-06-06 03:52:52","","","","Company","","","France","2012-02-18 08:03:27","admin","true","","","","","32.711472","-117.166587","false","?0.00","","","ACME EMEA","false","?0.00","false","","?0.00","","","ACME","","","","admin","1","false","","",""
"Adagio","","","","","2013-06-06 03:56:02","","85b42755dfb10100a9e78b6c3df263a3.iix","","Company","","","","2005-05-24 06:44:44","guest","false","","","","","","","true","?0.00","","","","false","?0.00","false","","?0.00","","","","","","","admin","2","false","","",""
"Adaptec","","","","","2013-06-05 21:31:41","","7abc4ed9df710100a9e78b6c3df263eb.iix","","Company","","","","2005-05-24 06:44:25","guest","false","","","","","","","true","?0.00","","","","false","?0.00","false","","?0.00","","","","","","","admin","2","false","","",""
"Adobe Systems","345 Park Avenue","San Jose","95110-2704","408-536-6000","2013-05-10 02:00:25","","9c6780b4bf1101007a6d257b3f07399c.iix","","Company","","","","2005-08-15 07:42:25","glide.maint","false","","(408) 536-6000","","","37.329407","-121.895057","true","?0.00","","7,459","","false","?0.00","true","Valued Partner","?0.00","CA","47.01","ADBE","","","","admin","12","true","Alissa Mountjoy","Software",""
"Adtran","901 Explorer Boulevard","Huntsville","35806-2807","(256) 963-8000","2013-06-06 03:59:17","","dd75a755dfb10100a9e78b6c3df26369.iix","","Company","","","U.S","2005-05-24 06:44:46","guest","false","","(256) 963-8030","","","34.722647","-86.679324","true","?0.00","","2,045","","false","?0.00","true","Valued Partner","?0.00","AL","21.60","ADTN","","","","admin","8","true","Amos Linnan","Services",""
"Agere","","","","","2013-06-05 21:34:53","","c67dced9df710100a9e78b6c3df2639b.iix","","Company","","","","2005-05-24 06:44:33","guest","false","","","","","","","true","?0.00","","","","false","?0.00","false","","?0.00","","","","","","","admin","2","false","","",""
"Ahead","","","","","2013-06-05 21:45:12","","4ddf061ddf710100a9e78b6c3df2630f.iix","","Company","","","","2005-05-24 06:44:27","guest","false","","","","","","","true","?0.00","","","","false","?0.00","false","","?0.00","","","","","","","admin","2","false","","",""
"Aladdin","","","","","2013-06-05 21:50:44","","7511961ddf710100a9e78b6c3df26361.iix","","Company","","","","2005-05-24 06:44:43","guest","false","","","","","","","true","?0.00","","","","false","?0.00","false","","?0.00","","","","","","","admin","2","false","","",""
"Altiris","350 Ellis Street","Mountain View","94043","(650) 527-8000","2013-05-08 23:20:49","","c5399ad0bfd101007a6d257b3f0739de.iix","","Company","","","U.S","2005-05-24 06:44:57","guest","false","","(650) 527-8000","","","37.397053","-122.053767","true","?0.00","","5,000","","false","?0.00","false","Strategic Partner","?0.00","CA","","","","","","admin","6","true","","Software",""
"Amazon","1200 12th Ave. South, Ste. 1200","Seattle","98144-2734","(866) 216-1072","2013-05-07 22:48:47","","0da88d0cbf5101007a6d257b3f073955.iix","and you're done.","Company","","","USA","2012-10-14 17:40:18","admin","false","","(866) 216-1072","","","47.59152","-122.317236","true","?0.00","","88,400","","false","?0.00","true","Strategic Partner","?0.00","WA","258.09","AMZN","","","","admin","7","true","","Hardware, Services, Software",""
"America Online","770 Broadway","New York, NY 10003","10003","(800) 827-6364","2013-05-08 23:24:37","","b19a1ad0bfd101007a6d257b3f073965.iix","","Company","","","U.S","2005-05-24 06:44:27","guest","false","","(212) 206-4400","","2: couldn't find this address! sorry","","","true","?0.00","","5,600","","false","?0.00","true","","?0.00","NY","40.79","AOL","","","","admin","8","true","","Software, Applications","http://www.corp.aol.com"
"Analog Devices","","","","","2013-06-05 21:56:02","","73421a1ddf710100a9e78b6c3df263c2.iix","","Company","","","","2005-05-24 06:44:23","guest","false","","","","","","","true","?0.00","","","","false","?0.00","false","","?0.00","","","","","","","admin","2","false","","",""
"Andrea Electronics","","","","","2013-06-05 21:58:58","","05339a1ddf710100a9e78b6c3df263ba.iix","","Company","","","","2005-05-24 06:44:22","guest","false","","","","","","","true","?0.00","","","","false","?0.00","false","","?0.00","","","","","","","admin","2","false","","",""
"Ann Arbor","","","","","2013-06-05 22:05:08","","6064ded9df710100a9e78b6c3df263c9.iix","","Company","","","","2005-05-24 06:44:47","guest","false","","","","","","","true","?0.00","","","","false","?0.00","false","","?0.00","","","","","","","admin","2","false","","",""
"AOpen","","","","","2013-06-05 22:07:07","","f5d41e1ddf710100a9e78b6c3df26351.iix","","Company","","","USA","2013-05-09 01:53:01","admin","false","","","","","","","false","?0.00","","","","false","?0.00","false","","?0.00","","","","","","","admin","1","false","","",""
"Apache Software Foundation","2000 Post Oak Boulevard, Suite 100","Houston","77056-4400","(713) 296-6000","2013-05-08 23:30:57","","ea8bded0bfd101007a6d257b3f0739e0.iix","","Company","","","U.S","2005-05-25 02:03:52","glide.maint","false","","(800) 272-2434","","","29.746225","-95.461052","true","?0.00","","5,976","","false","?0.00","true","","?0.00","TX","75.25","APA","","","","admin","6","true","","Software",""
"APC","520 8th Ave., 21st Floor","New York","10018","(212) 594-9333","2013-05-10 02:03:25","","6a08c8f4bf1101007a6d257b3f07397e.iix","Legendary Reliability","Company","","","U.S","2005-05-24 06:44:46","guest","false","","(212) 594-9333","","2: couldn't find this address! sorry","40.753692","-73.992576","true","?0.00","","113,900","","false","?0.00","true","","?0.00","NY","12.28","APCC","","","","admin","12","true","","Hardware",""
"Apple","1 Infinite Loop","Cupertino","95014","(408) 996-1010","2013-05-07 22:51:57","","2e39454cbf5101007a6d257b3f0739ba.iix","Think different.","Company","","","","2005-08-15 07:43:44","glide.maint","false","","(408) 996-1010","","","37.33055","-122.0297","true","?0.00","","72,800","","false","?0.00","true","Valued Partner","?0.00","CA","453.00","AAPL","","","","admin","12","true","","Hardware, Software",""
"Apttus","","Bangalore","","","2018-08-30 13:44:22","","","","Company","","","USA","2018-08-30 13:44:01","admin","false","","","","","","","false","?0.00","AI based company.","","","false","?0.00","false","","?0.00","","","","","","","admin","1","false","","",""
"Asus","800 Corporate Way","Fremont","94539","(510) 739-3777","2013-05-10 02:05:52","","91d84cf4bf1101007a6d257b3f07397f.iix","Inspiring Inovation. Persistent Perfection","Company","","","USA","2012-01-21 01:03:33","admin","false","","(510) 608-4555","","","37.499591","-121.928467","true","?0.00","","3,400","","false","?0.00","true","Valued Partner","?0.00","CA","58.00","ASUUY","","","","admin","5","true","","Hardware",""
"AT&T","208 South Akard Street","Dallas","75202","(214) 741-6655","2013-05-10 02:09:51","","b7798cf4bf1101007a6d257b3f07396d.iix","Rethink Possible","Company","","","U.S","2005-05-24 06:44:24","guest","false","","(214) 741-6655","","","32.779773","-96.799756","true","?0.00","","243,340","","false","?0.00","true","Valued Partner","?0.00","TX","37.34","T","","","","admin","7","true","","Services, Software",""
"Aureal","","","","","2013-06-05 22:10:01","","3ec5125ddf710100a9e78b6c3df26326.iix","","Company","","","","2005-05-24 06:45:02","guest","false","","","","","","","true","?0.00","","","","false","?0.00","false","","?0.00","","","","","","","admin","2","false","","",""
"Autodesk Inc.","111 McInnis Parkway","San Rafael","94903","(415) 507-5000","2013-05-07 11:20:22","","0dd1e053bf4101007a6d257b3f073940.iix","","Company","","","USA","2011-01-17 14:45:08","dariusz.szybowski","false","","(415) 507-5000","","","38.00541","-122.532721","true","?0.00","","7,300","","false","?0.00","true","","?0.00","CA","39.52","ADSK","","","","admin","6","true","","Software",""
"Avantgo","","","","","2013-06-05 22:12:51","","8146525ddf710100a9e78b6c3df26362.iix","","Company","","","","2005-05-24 06:44:24","guest","false","","","","","","","true","?0.00","","","","false","?0.00","false","","?0.00","","","","","","","admin","2","false","","",""
"Aveo","","","","","2013-06-05 22:15:17","","15b6d6d9df710100a9e78b6c3df26391.iix","","Company","","","","2005-05-24 06:44:56","guest","false","","","","","","","true","?0.00","","","","false","?0.00","false","","?0.00","","","","","","","admin","2","false","","",""
"AWS","","","","","2013-06-05 22:16:39","","6d07dad9df710100a9e78b6c3df26306.iix","","Company","","","","2005-05-24 06:44:27","guest","false","","","","","","","true","?0.00","","","","false","?0.00","false","","?0.00","","","","","","","admin","2","false","","",""
"Backweb","10 Ha'amal Street","Park Afek","48092","972 3 902 4182","2013-05-10 02:11:29","","e7d9ccf4bf1101007a6d257b3f07394b.iix","","Company","","","Israel","2005-05-24 06:44:41","guest","false","","972 3 900 2702","","2: couldn't find this address! sorry","","","true","?0.00","","8","","false","?0.00","true","","?0.00","Rosh Ha'ayin","0.19","BWEBF","","","","admin","6","true","","Services, Software",""
"Bits Per Second","","","","","2013-06-05 22:20:22","","00e7525ddf710100a9e78b6c3df2639c.iix","","Company","","","","2005-05-24 06:44:53","guest","false","","","","","","","true","?0.00","","","","false","?0.00","false","","?0.00","","","","","","","admin","2","false","","",""
"Borland","","","","","2013-06-05 22:21:40","","4b28565ddf710100a9e78b6c3df2639f.iix","","Company","","","","2005-05-24 06:44:23","guest","false","","","","","","","true","?0.00","","","","false","?0.00","false","","?0.00","","","","","","","admin","2","false","","",""
"Bradbury","1200 E.Cole / PO Box 667","Moundridge","67107","(800) 397-6394","2013-05-07 11:20:22","","9423641fbf4101007a6d257b3f073975.iix","","Company","","","USA","2005-05-24 06:44:48","guest","false","","(620) 345-6394","","","38.203011","-97.516643","true","?0.00","","","","false","?0.00","false","","?0.00","KS","","","","","","admin","5","true","","Software",""
"Broadcom","5300 California Avenue","Irvine","92617-3038","(949) 926-5000","2013-05-07 11:20:22","","c7636c5fbf4101007a6d257b3f0739ff.iix","","Company","","","USA","2006-04-18 02:25:54","employee","false","","(949) 926-5203","","2: couldn't find this address! sorry","33.646162","-117.856076","true","?0.00","","","","false","?0.00","false","","?0.00","CA","36.22","BRCM","","","","admin","6","true","","Applications",""
"Brother","15-1, Naeshiro-cho","Mizuho-ku","467-8561","81 5 2824 2075","2013-05-07 11:20:22","","ebd3609fbf4101007a6d257b3f0739d2.iix","at your side","Company","","","Japan","2010-05-10 17:33:17","dariusz.maint","false","","81 5 2811 6826","","2: couldn't find this address! sorry","","","true","?0.00","","","","false","?0.00","false","Valued Partner","?0.00","Nagoya","22.90","BRTHY","","","","admin","6","true","","Hardware",""
"CA Technologies","One CA Plaza","Islandia","11749","(800) 225-5224","2013-05-07 11:20:22","","ca346c5fbf4101007a6d257b3f073906.iix","","Company","","","USA","2005-08-15 07:59:22","glide.maint","false","","(800) 225-5224","","2: couldn't find this address! sorry","","","true","?0.00","","13,600","","false","?0.00","false","","?0.00","NY","27.72","CA","","","","admin","11","true","","Services",""
"Canon","30-2, Shimomaruko 3-Chome","Ohta-ku","146-8501","81 3 3758 2111","2013-05-10 02:11:56","","473a0038bf1101007a6d257b3f07394a.iix","Delighting You Always","Company","","","Japan","2005-08-15 07:49:24","glide.maint","false","","81 3 3758 2111","","2: couldn't find this address! sorry","","","true","?0.00","","196,968","","false","?0.00","false","Strategic Partner","?0.00","Tokyo","35.74","CAJ","","","","admin","10","true","","Hardware, Software",""
"Chapura","","","","","2013-06-05 22:23:47","","4ba8125ddf710100a9e78b6c3df26399.iix","","Company","","","","2005-05-24 06:44:54","guest","false","","","","","","","true","?0.00","","","","false","?0.00","false","","?0.00","","","","","","","admin","2","false","","",""
"Cinematronics","","","","","2013-06-05 22:25:18","","d809565ddf710100a9e78b6c3df263e5.iix","","Company","","","","2005-05-24 06:44:22","guest","false","","","","","","","true","?0.00","","","","false","?0.00","false","","?0.00","","","","","","","admin","2","false","","",""
"Cisco","170 West Tasman Drive
","San Jose","95134-1706","408-526-4000","2013-05-10 02:14:27","","eb8a4038bf1101007a6d257b3f073932.iix","","Company","","","U.S","2005-08-15 07:41:51","glide.maint","false","","(408) 526-4100","","","37.409052","-121.950785","true","?0.00","","66,639","","false","?0.00","true","Valued Partner","?0.00","CA","20.81","CSCO","","","","admin","7","true","","Hardware",""
"Citrix Systems","851 West Cypress Creek Road
","Fort Lauderdale","33309","(954) 267-3000","2013-05-10 02:15:39","","24da0038bf1101007a6d257b3f0739bc.iix","","Company","","","U.S","2005-05-24 06:44:25","guest","false","","(954) 267-3101","","","26.203164","-80.155509","true","?0.00","","8,212","","false","?0.00","true","","?0.00","FL","64.0","CTXS","","","","admin","6","true","","Software",""
"Cloudward Inc","1100 Larkspur Landing Circle
","Larkspur","94939","(415) 464-4849","2013-05-10 02:28:22","","3ebd4438bf1101007a6d257b3f07396b.iix","","Company","","","USA","2012-11-27 05:14:34","admin","false","","(425) 458-4511","","","37.948224","-122.509085","false","?0.00","","57","","false","?0.00","false","","?0.00","CA","0.55","CDWD","","","","admin","8","true","","Hardware",""
"Clubphoto","","","","","2013-06-05 22:28:16","","bfa91a5ddf710100a9e78b6c3df263d7.iix","","Company","","","","2005-05-24 06:44:54","guest","false","","","","","","","true","?0.00","","","","false","?0.00","false","","?0.00","","","","","","","admin","2","false","","",""
"Concentric Network","","","","","2013-06-05 22:29:48","","ad2a9a5ddf710100a9e78b6c3df26308.iix","","Company","","","","2005-05-24 06:45:01","guest","false","","","","","","","true","?0.00","","","","false","?0.00","false","","?0.00","","","","","","","admin","2","false","","",""
"ConeXware","","","","","2013-06-05 22:41:35","","36bc9e5ddf710100a9e78b6c3df263cc.iix","","Company","","","","2005-05-24 06:44:24","guest","false","","","","","","","true","?0.00","","","","false","?0.00","false","","?0.00","","","","","","","admin","2","false","","",""
"CoreLogic, Inc.","40 Pacifica Suite 900
","Santa Ana","92618-7471","(949) 250-6400","2013-06-06 04:01:21","","20f5e755dfb10100a9e78b6c3df2635c.iix","","Company","","","U.S","2005-05-24 06:44:23","guest","false","","(949) 250-6400","","","33.659356","-117.753721","true","?0.00","","4,800","","false","?0.00","false","","?0.00","CA","27.63","CLGX","","","","admin","7","true","","Software",""
"Corsair","46221 Landing Parkway","Fremont","94538","(510) 657-8747","2013-05-07 11:20:23","","efaf50f7bf8101007a6d257b3f07394b.iix","","Company","","","USA","2012-01-21 04:01:39","admin","false","","(510) 657-8748","","","37.487594","-121.945867","true","?0.00","","300","","false","?0.00","false","","?0.00","CA","","","","","","admin","6","true","","Hardware",""
"Creative Labs","701 Market Street","St. Augustine","32095","(904) 824-3133","2013-05-07 11:20:23","","8a9164f7bf8101007a6d257b3f073979.iix","","Company","","","USA","2005-05-24 06:44:22","guest","false","","(302) 421-5753","","2: couldn't find this address! sorry","","","true","?0.00","","12","","false","?0.00","false","","?0.00","FL","0.55","CLCN","","","","admin","8","true","","Software",""
"Cyberlink","4800 Great America Pkwy, Ste. 515","Santa Clara","95054","(408) 217-1850","2013-06-06 04:03:03","","d1762b55dfb10100a9e78b6c3df263ce.iix","","Company","","","USA","2005-05-24 06:44:44","guest","false","","(408) 217-1850","","","37.39623","-121.977957","true","?0.00","","700","","false","?0.00","false","","?0.00","CA","98.50","5203.TW","","","","admin","8","true","","Software",""
"Cyberpower","5175 Commerce Dr.","Baldwin Park","91706","(888) 900-5180","2013-06-06 04:05:26","","4fd66b55dfb10100a9e78b6c3df26398.iix","","Company","","","USA","2012-01-21 01:52:26","admin","false","","(626) 813-7730","","","34.104552","-117.974779","true","?0.00","","113","","false","?0.00","false","","?0.00","CA","59.10","3617.TW","","","","admin","7","true","","Hardware",""
"CyberRAIDª","","","","","2013-06-05 22:45:07","","e68d129ddf710100a9e78b6c3df2637f.iix","","Company","","","USA","2013-05-07 11:20:23","admin","false","","","","","","","false","?0.00","","","","false","?0.00","false","","?0.00","","","","","","","admin","1","false","","Hardware",""
"CyberRAID™","","","","","2013-06-05 22:45:42","","4fad129ddf710100a9e78b6c3df263c4.iix","","Company","","","","2005-05-25 02:56:31","glide.maint","false","","","","","","","true","?0.00","","","","false","?0.00","false","","?0.00","","","","","","","admin","3","true","","",""
"Dell Inc.","2300 Greenlawn Blvd","Round Rock","78664","(512) 338-4400","2013-05-10 00:53:32","","2d0877a4bf1101007a6d257b3f07398f.iix","","Company","","","USA","2005-08-15 07:41:28","glide.maint","false","","(619) 501-5252","","2: couldn't find this address! sorry","30.485884","-97.662168","true","?0.00","","111,300","","false","?0.00","false","Valued Partner","?0.00","TX","13.29","DELL","","","","admin","11","true","","Hardware, Software",""
"Design Science","","","","","2013-06-05 22:49:22","","e48e5e5ddf710100a9e78b6c3df263ff.iix","","Company","","","","2005-05-24 06:44:26","guest","false","","","","","","","true","?0.00","","","","false","?0.00","false","","?0.00","","","","","","","admin","2","false","","",""
"Disney","","","","","2013-06-05 22:54:11","","1f9f169ddf710100a9e78b6c3df263bc.iix","","Company","","","","2005-05-24 06:44:34","guest","false","","","","","","","true","?0.00","","","","false","?0.00","false","","?0.00","","","","","","","admin","4","true","","Software",""
"Dynex","7601 Penn Avenue South","Richfield","55423-3645","(800) 305-2204","2013-05-07 11:20:23","","92e9e43bbf8101007a6d257b3f07397b.iix","","Company","","","USA","2012-01-21 04:22:12","admin","false","","(800) 305-2204","","","44.865364","-93.308624","true","?0.00","","17","","false","?0.00","false","","?0.00","MN","10.79","DX","","","","admin","5","true","","Hardware",""
"Eatsleepmusic.Com","301 Moodie Dr.  Suite 306","Nepean","K2H 9C4","(855) 307-6158","2013-05-07 11:20:23","","749ce8f7bf8101007a6d257b3f073907.iix","","Company","","","Canada","2005-05-24 06:44:59","guest","false","","(855) 307-6158","","2: couldn't find this address! sorry","","","true","?0.00","","21","","false","?0.00","false","","?0.00","ON","","","","","","admin","7","true","","Software, Services",""
"eFax.com","","","","","2013-06-05 23:00:46","","0821e69ddf710100a9e78b6c3df26390.iix","","Company","","","","2005-05-24 06:44:26","guest","false","","","","","","","true","?0.00","","","","false","?0.00","false","","?0.00","","","","","","","admin","2","false","","",""
"eHelp","","","","","2013-06-05 23:08:39","","23e2e25ddf710100a9e78b6c3df263a7.iix","","Company","","","","2005-05-24 06:44:35","guest","false","","","","","","","true","?0.00","","","","false","?0.00","false","","?0.00","","","","","","","admin","2","false","","",""
"EMC","176 South Street","Hopkinton ","01748","(866) 438-3622","2013-05-10 00:52:06","","3ba737a4bf1101007a6d257b3f073974.iix","where information lives","Company","","","USA","2006-07-12 04:28:12","glide.maint","false","","(508) 435-1000","","","42.19823","-71.54199","true","?0.00","","60,000","","false","?0.00","true","Valued Partner","?0.00","MA","23.34","EMC","","","","admin","7","true","","Hardware","www.emc.com"
"Erik Deppe","","","","","2013-06-05 23:12:15","","e8c32e9ddf710100a9e78b6c3df2638e.iix","","Company","","","","2005-05-24 06:44:42","guest","false","","","","","","","true","?0.00","","","","false","?0.00","false","","?0.00","","","","","","","admin","2","false","","",""
"Executive Software","","","","","2013-06-05 23:17:57","","7b05aa5ddf710100a9e78b6c3df26320.iix","","Company","","","","2005-05-24 06:44:29","guest","false","","","","","","","true","?0.00","","","","false","?0.00","false","","?0.00","","","","","","","admin","2","false","","",""
"Freedom Scientific","","","","","2013-06-05 23:21:27","","4bd522dddf710100a9e78b6c3df263a5.iix","","Company","","","","2005-05-24 06:44:35","guest","false","","","","","","","true","?0.00","","","","false","?0.00","false","","?0.00","","","","","","","admin","2","false","","",""
"Fujitsu","1-5-2 Higashi-Shimbashi","","105-7123","81 3 6252 2220","2013-05-10 00:47:32","","f8f6f3a4bf1101007a6d257b3f07393b.iix","shaping tomorrow with you","Company","","","Japan","2005-08-15 07:46:51","glide.maint","false","","81 3 6252 2221","","2: couldn't find this address! sorry","","","true","?0.00","","","","false","?0.00","false","","?0.00","Tokyo","301.7","FUJ.L","","","","admin","7","true","","Hardware","www.fujjitsu.com"
"Gateway","7565 Irvine Center Drive","Irvine","92618","(949) 471-7040","2013-05-10 00:47:11","","c896b3a4bf1101007a6d257b3f073949.iix","","Company","","","USA","2005-08-15 07:44:54","glide.maint","false","","(949) 471-7040","","","33.663042","-117.753444","true","?0.00","","10,432","","false","?0.00","true","Valued Partner","?0.00","CA","28.15","GTECX","","","","admin","7","true","","Hardware","www.gateway.com"
"GenuineIntel","","","","","2013-06-05 23:23:26","","1dc6a2dddf710100a9e78b6c3df263ad.iix","","Company","","","","2005-05-24 06:44:19","guest","false","","","","","","","true","?0.00","","","","false","?0.00","false","","?0.00","","","","","","","admin","2","false","","",""
"Google","1600 Amphitheatre Parkway","Mountain View","CA","(650) 253-0000","2013-05-10 00:45:35","","693673a4bf1101007a6d257b3f07396a.iix","","Company","","","USA","2005-09-22 03:24:10","system","false","","","","2: couldn't find this address! sorry","","","true","?0.00","","53,891","","false","?0.00","false","Valued Partner","?0.00","94043","861.55","Goog","","","","admin","6","true","","Applications, Software","www.google.com"
"Hewlett-Packard","3000 Hanover Street","Palo Alto","CA","650-857-1501","2013-05-07 11:20:23","","df1bc17fbf8101007a6d257b3f0739f7.iix","","Company","","","","2005-08-15 07:41:15","glide.maint","false","","(650) 857-1501","","2: couldn't find this address! sorry","","","true","?0.00","","331,800","","false","?0.00","true","Valued Partner","?0.00","94304","","HPQ","","","","admin","9","true","","Hardware, Software","www.hp.com"
"IBM","1133 Westchester Avenue","White Plains","10604","1-800-IBM-4YOU","2013-05-10 00:44:13","","01e533a4bf1101007a6d257b3f0739a7.iix","","Company","","","USA","2005-08-15 07:41:22","glide.maint","false","","(914) 499-1900","","2: couldn't find this address! sorry","","","true","?0.00","","442,255","","false","?0.00","false","Valued Partner","?0.00","New York","200.78","IBM","","","","admin","11","true","","Software, Hardware","www.ibm.com"
"iBUYPOWER","529 N. Baldwin Park Blvd","City of Industry","91746","(888) 462-3899","2013-05-10 00:42:55","","d595ff64bf1101007a6d257b3f0739fd.iix","","Company","","","USA","2012-01-21 01:41:04","admin","false","","(888) 462-3899","","","34.056669","-117.992491","true","?0.00","","43","","false","?0.00","false","","?0.00","CA","","","","","","admin","5","true","","Hardware","www.ibuypower.com"
"In Focus Systems","13190 SW 68th Parkway, Suite 200","Portland","97223-8368","(503) 207-4700","2013-05-10 00:39:13","","1fb47f64bf1101007a6d257b3f0739cc.iix","","Company","","","USA","2005-05-24 06:44:22","guest","false","","","","","45.424708","-122.747146","true","?0.00","","100","","false","?0.00","false","","?0.00","OR","","","","","","admin","6","true","","Software",""
"Information Research","","","","","2012-10-14 17:29:41","","","","Company","","","","2005-05-24 06:44:22","guest","false","","","","","","","true","?0.00","","","","false","?0.00","false","","?0.00","","","","","","","admin","1","false","","",""
"Insight Development","","","","","2012-10-14 17:29:41","","","","Company","","","","2005-05-24 06:44:23","guest","false","","","","","","","true","?0.00","","","","false","?0.00","false","","?0.00","","","","","","","admin","1","false","","",""
